news,label_key,gold,pred_binary,correct
"gold dips below rs 28k level, tumbles rs 620 on global cues",Asset Comparision,0,0,1
"gold dips below rs 28k level, tumbles rs 620 on global cues",Past Information,1,1,1
"gold dips below rs 28k level, tumbles rs 620 on global cues",Future Information,0,0,1
"gold dips below rs 28k level, tumbles rs 620 on global cues",Price Sentiment_positive,0,0,1
"gold dips below rs 28k level, tumbles rs 620 on global cues",Price Sentiment_negative,1,1,1
"gold dips below rs 28k level, tumbles rs 620 on global cues",Price Sentiment_none,0,0,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Price Direction Up,1,1,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Price Direction Constant,0,0,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Price Direction Down,0,0,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Asset Comparision,0,0,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Past Information,1,0,0
dec. gold climbs $2.50 to $626.30/oz in morning trading,Future Information,0,0,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Price Sentiment_positive,1,1,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Price Sentiment_negative,0,0,1
dec. gold climbs $2.50 to $626.30/oz in morning trading,Price Sentiment_none,0,0,1
Gold futures turn a bit lower ahead of Comex settlement,Price Direction Up,0,0,1
Gold futures turn a bit lower ahead of Comex settlement,Price Direction Constant,0,0,1
Gold futures turn a bit lower ahead of Comex settlement,Price Direction Down,1,0,0
Gold futures turn a bit lower ahead of Comex settlement,Asset Comparision,0,1,0
Gold futures turn a bit lower ahead of Comex settlement,Past Information,1,1,1
Gold futures turn a bit lower ahead of Comex settlement,Future Information,0,1,0
Gold futures turn a bit lower ahead of Comex settlement,Price Sentiment_positive,0,1,0
Gold futures turn a bit lower ahead of Comex settlement,Price Sentiment_negative,1,1,1
Gold futures turn a bit lower ahead of Comex settlement,Price Sentiment_none,0,0,1
india : gold imports may drop to 650 tonnes this fiscal,Price Direction Up,0,0,1
india : gold imports may drop to 650 tonnes this fiscal,Price Direction Constant,0,0,1
india : gold imports may drop to 650 tonnes this fiscal,Price Direction Down,0,0,1
india : gold imports may drop to 650 tonnes this fiscal,Asset Comparision,0,0,1
india : gold imports may drop to 650 tonnes this fiscal,Past Information,1,0,0
india : gold imports may drop to 650 tonnes this fiscal,Future Information,0,0,1
india : gold imports may drop to 650 tonnes this fiscal,Price Sentiment_positive,0,0,1
india : gold imports may drop to 650 tonnes this fiscal,Price Sentiment_negative,0,1,0
india : gold imports may drop to 650 tonnes this fiscal,Price Sentiment_none,1,0,0
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Price Direction Up,0,0,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Price Direction Constant,0,0,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Price Direction Down,1,1,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Asset Comparision,0,0,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Past Information,1,1,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Future Information,0,0,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Price Sentiment_positive,0,0,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Price Sentiment_negative,1,1,1
"august gold drops $12.50, or 1.9%, to $648/oz in ny",Price Sentiment_none,0,0,1
"spot gold bid at $390.70 an ounce, down 90c",Price Direction Up,0,0,1
"spot gold bid at $390.70 an ounce, down 90c",Price Direction Constant,0,0,1
"spot gold bid at $390.70 an ounce, down 90c",Price Direction Down,1,1,1
"spot gold bid at $390.70 an ounce, down 90c",Asset Comparision,0,0,1
"spot gold bid at $390.70 an ounce, down 90c",Past Information,1,1,1
"spot gold bid at $390.70 an ounce, down 90c",Future Information,0,0,1
"spot gold bid at $390.70 an ounce, down 90c",Price Sentiment_positive,0,0,1
"spot gold bid at $390.70 an ounce, down 90c",Price Sentiment_negative,1,1,1
"spot gold bid at $390.70 an ounce, down 90c",Price Sentiment_none,0,0,1
Gold prices maintain early losses after ECB decision,Price Direction Up,0,0,1
Gold prices maintain early losses after ECB decision,Price Direction Constant,0,0,1
Gold prices maintain early losses after ECB decision,Price Direction Down,1,1,1
Gold prices maintain early losses after ECB decision,Asset Comparision,0,1,0
Gold prices maintain early losses after ECB decision,Past Information,1,1,1
Gold prices maintain early losses after ECB decision,Future Information,0,0,1
Gold prices maintain early losses after ECB decision,Price Sentiment_positive,0,0,1
Gold prices maintain early losses after ECB decision,Price Sentiment_negative,1,1,1
Gold prices maintain early losses after ECB decision,Price Sentiment_none,0,0,1
gold to trade in 28649-28877: achiievers equities,Price Direction Up,0,0,1
gold to trade in 28649-28877: achiievers equities,Price Direction Constant,1,0,0
gold to trade in 28649-28877: achiievers equities,Price Direction Down,0,0,1
gold to trade in 28649-28877: achiievers equities,Asset Comparision,0,0,1
gold to trade in 28649-28877: achiievers equities,Past Information,0,1,0
gold to trade in 28649-28877: achiievers equities,Future Information,1,0,0
gold to trade in 28649-28877: achiievers equities,Price Sentiment_positive,0,1,0
gold to trade in 28649-28877: achiievers equities,Price Sentiment_negative,0,1,0
gold to trade in 28649-28877: achiievers equities,Price Sentiment_none,0,0,1
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Price Direction Up,0,0,1
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Price Direction Constant,0,1,0
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Price Direction Down,0,0,1
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Asset Comparision,0,1,0
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Past Information,1,0,0
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Future Information,0,0,1
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Price Sentiment_positive,0,0,1
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Price Sentiment_negative,0,1,0
"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",Price Sentiment_none,1,0,0
"Gold prices end lower, give back nearly half of their recent rally",Price Direction Up,0,0,1
"Gold prices end lower, give back nearly half of their recent rally",Price Direction Constant,0,0,1
"Gold prices end lower, give back nearly half of their recent rally",Price Direction Down,1,1,1
"Gold prices end lower, give back nearly half of their recent rally",Asset Comparision,0,1,0
"Gold prices end lower, give back nearly half of their recent rally",Past Information,1,1,1
"Gold prices end lower, give back nearly half of their recent rally",Future Information,0,0,1
"Gold prices end lower, give back nearly half of their recent rally",Price Sentiment_positive,0,0,1
"Gold prices end lower, give back nearly half of their recent rally",Price Sentiment_negative,1,1,1
"Gold prices end lower, give back nearly half of their recent rally",Price Sentiment_none,0,0,1
gold edges up from six-month lows as the dollar slips,Price Direction Up,1,0,0
gold edges up from six-month lows as the dollar slips,Price Direction Constant,0,0,1
gold edges up from six-month lows as the dollar slips,Price Direction Down,0,0,1
gold edges up from six-month lows as the dollar slips,Asset Comparision,1,1,1
gold edges up from six-month lows as the dollar slips,Past Information,1,0,0
gold edges up from six-month lows as the dollar slips,Future Information,0,0,1
gold edges up from six-month lows as the dollar slips,Price Sentiment_positive,1,1,1
gold edges up from six-month lows as the dollar slips,Price Sentiment_negative,0,0,1
gold edges up from six-month lows as the dollar slips,Price Sentiment_none,0,0,1
Gold prices move higher on softer dollar,Price Direction Up,1,1,1
Gold prices move higher on softer dollar,Price Direction Constant,0,0,1
Gold prices move higher on softer dollar,Price Direction Down,0,0,1
Gold prices move higher on softer dollar,Asset Comparision,1,1,1
Gold prices move higher on softer dollar,Past Information,1,0,0
Gold prices move higher on softer dollar,Future Information,0,0,1
Gold prices move higher on softer dollar,Price Sentiment_positive,1,1,1
Gold prices move higher on softer dollar,Price Sentiment_negative,0,0,1
Gold prices move higher on softer dollar,Price Sentiment_none,0,0,1
gold down 2% as goldman news sets off selling wave,Price Direction Up,0,0,1
gold down 2% as goldman news sets off selling wave,Price Direction Constant,0,0,1
gold down 2% as goldman news sets off selling wave,Price Direction Down,1,1,1
gold down 2% as goldman news sets off selling wave,Asset Comparision,0,0,1
gold down 2% as goldman news sets off selling wave,Past Information,1,1,1
gold down 2% as goldman news sets off selling wave,Future Information,0,0,1
gold down 2% as goldman news sets off selling wave,Price Sentiment_positive,0,0,1
gold down 2% as goldman news sets off selling wave,Price Sentiment_negative,1,1,1
gold down 2% as goldman news sets off selling wave,Price Sentiment_none,0,0,1
gold slips as fears ease over us-china trade conflict,Price Direction Up,0,0,1
gold slips as fears ease over us-china trade conflict,Price Direction Constant,0,0,1
gold slips as fears ease over us-china trade conflict,Price Direction Down,1,1,1
gold slips as fears ease over us-china trade conflict,Asset Comparision,0,0,1
gold slips as fears ease over us-china trade conflict,Past Information,1,0,0
gold slips as fears ease over us-china trade conflict,Future Information,0,0,1
gold slips as fears ease over us-china trade conflict,Price Sentiment_positive,0,0,1
gold slips as fears ease over us-china trade conflict,Price Sentiment_negative,1,1,1
gold slips as fears ease over us-china trade conflict,Price Sentiment_none,0,0,1
"Gold prices steady, eyes on US midterm elections",Price Direction Up,0,0,1
"Gold prices steady, eyes on US midterm elections",Price Direction Constant,1,1,1
"Gold prices steady, eyes on US midterm elections",Price Direction Down,0,0,1
"Gold prices steady, eyes on US midterm elections",Asset Comparision,0,0,1
"Gold prices steady, eyes on US midterm elections",Past Information,1,0,0
"Gold prices steady, eyes on US midterm elections",Future Information,0,0,1
"Gold prices steady, eyes on US midterm elections",Price Sentiment_positive,0,0,1
"Gold prices steady, eyes on US midterm elections",Price Sentiment_negative,0,0,1
"Gold prices steady, eyes on US midterm elections",Price Sentiment_none,0,0,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Price Direction Up,1,1,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Price Direction Constant,0,0,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Price Direction Down,0,0,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Asset Comparision,0,1,0
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Past Information,1,1,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Future Information,0,0,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Price Sentiment_positive,1,1,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Price Sentiment_negative,0,0,1
"Dec. gold gains $20.20, or 1.6%, to settle at $1,308.20/oz ahead of Fed decision",Price Sentiment_none,0,0,1
gold futures down $7 in morning trading,Price Direction Up,0,0,1
gold futures down $7 in morning trading,Price Direction Constant,0,0,1
gold futures down $7 in morning trading,Price Direction Down,1,1,1
gold futures down $7 in morning trading,Asset Comparision,0,0,1
gold futures down $7 in morning trading,Past Information,1,0,0
gold futures down $7 in morning trading,Future Information,0,0,1
gold futures down $7 in morning trading,Price Sentiment_positive,0,0,1
gold futures down $7 in morning trading,Price Sentiment_negative,1,1,1
gold futures down $7 in morning trading,Price Sentiment_none,0,0,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Price Direction Up,0,0,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Price Direction Constant,0,0,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Price Direction Down,0,0,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Asset Comparision,1,1,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Past Information,1,1,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Future Information,0,0,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Price Sentiment_positive,0,0,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Price Sentiment_negative,0,0,1
silver : ice from the alps reveals europeans ditched gold for silver in ad 660,Price Sentiment_none,1,0,0
"gold rate today: gold, silver trade lower; should you invest?",Price Direction Up,0,0,1
"gold rate today: gold, silver trade lower; should you invest?",Price Direction Constant,0,0,1
"gold rate today: gold, silver trade lower; should you invest?",Price Direction Down,1,1,1
"gold rate today: gold, silver trade lower; should you invest?",Asset Comparision,1,1,1
"gold rate today: gold, silver trade lower; should you invest?",Past Information,1,1,1
"gold rate today: gold, silver trade lower; should you invest?",Future Information,0,0,1
"gold rate today: gold, silver trade lower; should you invest?",Price Sentiment_positive,0,0,1
"gold rate today: gold, silver trade lower; should you invest?",Price Sentiment_negative,1,1,1
"gold rate today: gold, silver trade lower; should you invest?",Price Sentiment_none,0,0,1
gold ends higher on housing data bounce,Price Direction Up,1,1,1
gold ends higher on housing data bounce,Price Direction Constant,0,0,1
gold ends higher on housing data bounce,Price Direction Down,0,0,1
gold ends higher on housing data bounce,Asset Comparision,0,0,1
gold ends higher on housing data bounce,Past Information,1,1,1
gold ends higher on housing data bounce,Future Information,0,0,1
gold ends higher on housing data bounce,Price Sentiment_positive,1,1,1
gold ends higher on housing data bounce,Price Sentiment_negative,0,1,0
gold ends higher on housing data bounce,Price Sentiment_none,0,0,1
mcx goldm dec contract up marginally,Price Direction Up,1,1,1
mcx goldm dec contract up marginally,Price Direction Constant,0,0,1
mcx goldm dec contract up marginally,Price Direction Down,0,0,1
mcx goldm dec contract up marginally,Asset Comparision,0,0,1
mcx goldm dec contract up marginally,Past Information,1,0,0
mcx goldm dec contract up marginally,Future Information,0,0,1
mcx goldm dec contract up marginally,Price Sentiment_positive,1,1,1
mcx goldm dec contract up marginally,Price Sentiment_negative,0,1,0
mcx goldm dec contract up marginally,Price Sentiment_none,0,0,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Price Direction Up,0,0,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Price Direction Constant,0,0,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Price Direction Down,0,0,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Asset Comparision,0,0,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Past Information,1,1,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Future Information,0,0,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Price Sentiment_positive,0,1,0
"jewellery : last year was good for diamonds, gold, and especially platinum",Price Sentiment_negative,0,0,1
"jewellery : last year was good for diamonds, gold, and especially platinum",Price Sentiment_none,1,0,0
gold futures end higher; copper up 1.1%,Price Direction Up,1,1,1
gold futures end higher; copper up 1.1%,Price Direction Constant,0,0,1
gold futures end higher; copper up 1.1%,Price Direction Down,0,0,1
gold futures end higher; copper up 1.1%,Asset Comparision,1,1,1
gold futures end higher; copper up 1.1%,Past Information,1,0,0
gold futures end higher; copper up 1.1%,Future Information,0,0,1
gold futures end higher; copper up 1.1%,Price Sentiment_positive,1,1,1
gold futures end higher; copper up 1.1%,Price Sentiment_negative,0,0,1
gold futures end higher; copper up 1.1%,Price Sentiment_none,0,0,1
"gold pares loss, inches closer to $1,600 an ounce",Price Direction Up,0,0,1
"gold pares loss, inches closer to $1,600 an ounce",Price Direction Constant,0,0,1
"gold pares loss, inches closer to $1,600 an ounce",Price Direction Down,1,0,0
"gold pares loss, inches closer to $1,600 an ounce",Asset Comparision,0,0,1
"gold pares loss, inches closer to $1,600 an ounce",Past Information,1,0,0
"gold pares loss, inches closer to $1,600 an ounce",Future Information,0,0,1
"gold pares loss, inches closer to $1,600 an ounce",Price Sentiment_positive,0,1,0
"gold pares loss, inches closer to $1,600 an ounce",Price Sentiment_negative,1,0,0
"gold pares loss, inches closer to $1,600 an ounce",Price Sentiment_none,0,0,1
Gold prices edge higher in Asia with China trade data in focus,Price Direction Up,1,1,1
Gold prices edge higher in Asia with China trade data in focus,Price Direction Constant,0,0,1
Gold prices edge higher in Asia with China trade data in focus,Price Direction Down,0,0,1
Gold prices edge higher in Asia with China trade data in focus,Asset Comparision,0,0,1
Gold prices edge higher in Asia with China trade data in focus,Past Information,1,0,0
Gold prices edge higher in Asia with China trade data in focus,Future Information,0,0,1
Gold prices edge higher in Asia with China trade data in focus,Price Sentiment_positive,1,1,1
Gold prices edge higher in Asia with China trade data in focus,Price Sentiment_negative,0,1,0
Gold prices edge higher in Asia with China trade data in focus,Price Sentiment_none,0,0,1
"gold futures tap fresh intraday highs above $1,600",Price Direction Up,1,1,1
"gold futures tap fresh intraday highs above $1,600",Price Direction Constant,0,0,1
"gold futures tap fresh intraday highs above $1,600",Price Direction Down,0,0,1
"gold futures tap fresh intraday highs above $1,600",Asset Comparision,0,0,1
"gold futures tap fresh intraday highs above $1,600",Past Information,1,0,0
"gold futures tap fresh intraday highs above $1,600",Future Information,0,0,1
"gold futures tap fresh intraday highs above $1,600",Price Sentiment_positive,1,1,1
"gold futures tap fresh intraday highs above $1,600",Price Sentiment_negative,0,0,1
"gold futures tap fresh intraday highs above $1,600",Price Sentiment_none,0,0,1
"dec. gold climbs, but ends near the day's low",Price Direction Up,1,0,0
"dec. gold climbs, but ends near the day's low",Price Direction Constant,0,0,1
"dec. gold climbs, but ends near the day's low",Price Direction Down,0,0,1
"dec. gold climbs, but ends near the day's low",Asset Comparision,0,0,1
"dec. gold climbs, but ends near the day's low",Past Information,1,1,1
"dec. gold climbs, but ends near the day's low",Future Information,0,0,1
"dec. gold climbs, but ends near the day's low",Price Sentiment_positive,1,0,0
"dec. gold climbs, but ends near the day's low",Price Sentiment_negative,0,1,0
"dec. gold climbs, but ends near the day's low",Price Sentiment_none,0,0,1
gold futures climb to a three-week high,Price Direction Up,1,1,1
gold futures climb to a three-week high,Price Direction Constant,0,0,1
gold futures climb to a three-week high,Price Direction Down,0,0,1
gold futures climb to a three-week high,Asset Comparision,0,0,1
gold futures climb to a three-week high,Past Information,1,1,1
gold futures climb to a three-week high,Future Information,0,0,1
gold futures climb to a three-week high,Price Sentiment_positive,1,1,1
gold futures climb to a three-week high,Price Sentiment_negative,0,0,1
gold futures climb to a three-week high,Price Sentiment_none,0,0,1
june gold settles up $10.20 at $689.90/ounce on nymex,Price Direction Up,1,0,0
june gold settles up $10.20 at $689.90/ounce on nymex,Price Direction Constant,0,0,1
june gold settles up $10.20 at $689.90/ounce on nymex,Price Direction Down,0,0,1
june gold settles up $10.20 at $689.90/ounce on nymex,Asset Comparision,0,0,1
june gold settles up $10.20 at $689.90/ounce on nymex,Past Information,1,0,0
june gold settles up $10.20 at $689.90/ounce on nymex,Future Information,0,0,1
june gold settles up $10.20 at $689.90/ounce on nymex,Price Sentiment_positive,1,1,1
june gold settles up $10.20 at $689.90/ounce on nymex,Price Sentiment_negative,0,0,1
june gold settles up $10.20 at $689.90/ounce on nymex,Price Sentiment_none,0,0,1
gold futures close near $383 an ounce,Price Direction Up,0,0,1
gold futures close near $383 an ounce,Price Direction Constant,0,0,1
gold futures close near $383 an ounce,Price Direction Down,0,0,1
gold futures close near $383 an ounce,Asset Comparision,0,0,1
gold futures close near $383 an ounce,Past Information,1,0,0
gold futures close near $383 an ounce,Future Information,0,0,1
gold futures close near $383 an ounce,Price Sentiment_positive,0,1,0
gold futures close near $383 an ounce,Price Sentiment_negative,0,1,0
gold futures close near $383 an ounce,Price Sentiment_none,1,0,0
"gold edges up on softer dollar, palladium at 16-year peak",Price Direction Up,1,1,1
"gold edges up on softer dollar, palladium at 16-year peak",Price Direction Constant,0,0,1
"gold edges up on softer dollar, palladium at 16-year peak",Price Direction Down,0,0,1
"gold edges up on softer dollar, palladium at 16-year peak",Asset Comparision,1,1,1
"gold edges up on softer dollar, palladium at 16-year peak",Past Information,1,0,0
"gold edges up on softer dollar, palladium at 16-year peak",Future Information,0,0,1
"gold edges up on softer dollar, palladium at 16-year peak",Price Sentiment_positive,1,1,1
"gold edges up on softer dollar, palladium at 16-year peak",Price Sentiment_negative,0,0,1
"gold edges up on softer dollar, palladium at 16-year peak",Price Sentiment_none,0,0,1
ceo is 'pretty bullish' on the aussie dollar gold price,Price Direction Up,0,1,0
ceo is 'pretty bullish' on the aussie dollar gold price,Price Direction Constant,0,0,1
ceo is 'pretty bullish' on the aussie dollar gold price,Price Direction Down,0,0,1
ceo is 'pretty bullish' on the aussie dollar gold price,Asset Comparision,1,1,1
ceo is 'pretty bullish' on the aussie dollar gold price,Past Information,1,1,1
ceo is 'pretty bullish' on the aussie dollar gold price,Future Information,0,0,1
ceo is 'pretty bullish' on the aussie dollar gold price,Price Sentiment_positive,0,1,0
ceo is 'pretty bullish' on the aussie dollar gold price,Price Sentiment_negative,0,1,0
ceo is 'pretty bullish' on the aussie dollar gold price,Price Sentiment_none,1,0,0
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Price Direction Up,0,0,1
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Price Direction Constant,0,0,1
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Price Direction Down,0,0,1
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Asset Comparision,0,0,1
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Past Information,1,0,0
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Future Information,0,0,1
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Price Sentiment_positive,0,0,1
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Price Sentiment_negative,0,1,0
"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",Price Sentiment_none,1,0,0
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Price Direction Up,1,1,1
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Price Direction Constant,0,0,1
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Price Direction Down,0,0,1
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Asset Comparision,0,0,1
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Past Information,1,0,0
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Future Information,0,0,1
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Price Sentiment_positive,1,1,1
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Price Sentiment_negative,0,0,1
"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce",Price Sentiment_none,0,0,1
mcx gold december contract trading lower,Price Direction Up,0,0,1
mcx gold december contract trading lower,Price Direction Constant,0,0,1
mcx gold december contract trading lower,Price Direction Down,1,1,1
mcx gold december contract trading lower,Asset Comparision,0,0,1
mcx gold december contract trading lower,Past Information,1,1,1
mcx gold december contract trading lower,Future Information,0,0,1
mcx gold december contract trading lower,Price Sentiment_positive,0,0,1
mcx gold december contract trading lower,Price Sentiment_negative,1,1,1
mcx gold december contract trading lower,Price Sentiment_none,0,0,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Price Direction Up,1,1,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Price Direction Constant,0,0,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Price Direction Down,0,0,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Asset Comparision,0,0,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Past Information,1,0,0
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Future Information,0,0,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Price Sentiment_positive,1,1,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Price Sentiment_negative,0,0,1
"aug. gold gains $6.60, or 0.6%, to settle at $1,185.80/oz",Price Sentiment_none,0,0,1
"gold eases, silver recovers",Price Direction Up,0,0,1
"gold eases, silver recovers",Price Direction Constant,0,0,1
"gold eases, silver recovers",Price Direction Down,1,0,0
"gold eases, silver recovers",Asset Comparision,1,0,0
"gold eases, silver recovers",Past Information,1,1,1
"gold eases, silver recovers",Future Information,0,0,1
"gold eases, silver recovers",Price Sentiment_positive,0,0,1
"gold eases, silver recovers",Price Sentiment_negative,1,1,1
"gold eases, silver recovers",Price Sentiment_none,0,0,1
investors rush in for gold exchange-traded funds,Price Direction Up,0,0,1
investors rush in for gold exchange-traded funds,Price Direction Constant,0,0,1
investors rush in for gold exchange-traded funds,Price Direction Down,0,0,1
investors rush in for gold exchange-traded funds,Asset Comparision,0,0,1
investors rush in for gold exchange-traded funds,Past Information,1,1,1
investors rush in for gold exchange-traded funds,Future Information,0,0,1
investors rush in for gold exchange-traded funds,Price Sentiment_positive,0,1,0
investors rush in for gold exchange-traded funds,Price Sentiment_negative,0,0,1
investors rush in for gold exchange-traded funds,Price Sentiment_none,1,0,0
gold prices off lows but gains capped,Price Direction Up,0,0,1
gold prices off lows but gains capped,Price Direction Constant,0,0,1
gold prices off lows but gains capped,Price Direction Down,0,0,1
gold prices off lows but gains capped,Asset Comparision,0,0,1
gold prices off lows but gains capped,Past Information,1,1,1
gold prices off lows but gains capped,Future Information,0,0,1
gold prices off lows but gains capped,Price Sentiment_positive,0,0,1
gold prices off lows but gains capped,Price Sentiment_negative,0,1,0
gold prices off lows but gains capped,Price Sentiment_none,1,0,0
april gold drops to a 5-wk low of $547/oz in ny,Price Direction Up,0,0,1
april gold drops to a 5-wk low of $547/oz in ny,Price Direction Constant,0,0,1
april gold drops to a 5-wk low of $547/oz in ny,Price Direction Down,1,1,1
april gold drops to a 5-wk low of $547/oz in ny,Asset Comparision,0,0,1
april gold drops to a 5-wk low of $547/oz in ny,Past Information,1,1,1
april gold drops to a 5-wk low of $547/oz in ny,Future Information,0,0,1
april gold drops to a 5-wk low of $547/oz in ny,Price Sentiment_positive,0,0,1
april gold drops to a 5-wk low of $547/oz in ny,Price Sentiment_negative,1,1,1
april gold drops to a 5-wk low of $547/oz in ny,Price Sentiment_none,0,0,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Price Direction Up,0,0,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Price Direction Constant,0,0,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Price Direction Down,1,1,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Asset Comparision,0,0,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Past Information,1,1,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Future Information,0,0,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Price Sentiment_positive,0,0,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Price Sentiment_negative,1,1,1
"june gold down $19.20, or 1.2%, at $1,581.70/oz",Price Sentiment_none,0,0,1
"crude eases in london, but gold holds gains",Price Direction Up,1,0,0
"crude eases in london, but gold holds gains",Price Direction Constant,0,0,1
"crude eases in london, but gold holds gains",Price Direction Down,0,0,1
"crude eases in london, but gold holds gains",Asset Comparision,1,1,1
"crude eases in london, but gold holds gains",Past Information,1,0,0
"crude eases in london, but gold holds gains",Future Information,0,0,1
"crude eases in london, but gold holds gains",Price Sentiment_positive,1,1,1
"crude eases in london, but gold holds gains",Price Sentiment_negative,0,0,1
"crude eases in london, but gold holds gains",Price Sentiment_none,0,0,1
Gold prices mark first gain in four sessions,Price Direction Up,1,1,1
Gold prices mark first gain in four sessions,Price Direction Constant,0,0,1
Gold prices mark first gain in four sessions,Price Direction Down,0,0,1
Gold prices mark first gain in four sessions,Asset Comparision,0,0,1
Gold prices mark first gain in four sessions,Past Information,1,1,1
Gold prices mark first gain in four sessions,Future Information,0,0,1
Gold prices mark first gain in four sessions,Price Sentiment_positive,1,1,1
Gold prices mark first gain in four sessions,Price Sentiment_negative,0,0,1
Gold prices mark first gain in four sessions,Price Sentiment_none,0,0,1
