pmid,gt_answer,pred_answer,correct,model_output
25810292,yes,no,0,yes
21739621,yes,maybe,0,yes
20073599,yes,maybe,0,s
21845457,yes,yes,1,yes
16216859,no,no,1,no
19103915,maybe,yes,0,yes
22521460,no,yes,0,yes
17062234,no,no,1,no
26126304,no,yes,0,yes
19578820,maybe,yes,0,yes
21228436,yes,yes,1,yes
23972333,yes,yes,1,yes
23719685,no,no,1,no
11601252,yes,yes,1,yes
23506394,yes,yes,1,yes
19575307,no,yes,0,yes
11977907,yes,yes,1,yes
12626177,maybe,yes,0,yes
15483019,yes,yes,1,yes
18693227,yes,yes,1,yes
27131771,yes,maybe,0,yes
24783217,yes,yes,1,yes
17916877,yes,maybe,0,yes
8375607,yes,yes,1,yes
11955750,no,no,1,no
27040842,no,no,1,no
17244100,yes,yes,1,yes
15708048,yes,maybe,0,yes
11438275,no,yes,0,yes
22513023,no,maybe,0,maybe
27146470,maybe,yes,0,yes
8165771,yes,yes,1,yes
23677366,no,no,1,no
19237087,no,maybe,0,maybe
10456814,no,yes,0,yes
8921484,no,maybe,0,maybe
16564683,no,yes,0,yes
23147106,no,yes,0,yes
21550158,yes,yes,1,yes
17559449,no,no,1,no
